,Anno,Codice_Nazionale,Codice_Istat,Denominazione Italiana,Provincia,Sigla Provincia,Codice_Provincia,Regione,Sigla Regione,Codice_Regione,AreaGeo,CAT_DET_COD_1,CAT_DET_COD_2,CAT_DET_COD_3,CAT_DET_COD_4,CAT_DET_COD_5,CAT_DET_COD_6,CAT_DET_COD_7,COEFF_TEORICO,IND1,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,LQP_COD_1,LQP_COD_2,LQP_COD_3,LQP_COD_4,LQP_COD_5,LQP_COD_6,LQP_COD_S
0,2010,A052,6001.0,Acqui Terme,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.083159195,0.263289743,0.087343467,0.050239745999999995,0.46672243,0.015185755,0.034059665,0.000419459,63.14806345,39.82371843,-24.5166537,8029.607273999999,41.45290579,2.474800345,0.589473684,30.0,3.260023355,39.82371843,-24.5166537,0.0,0.0,8.0,3.0,3.0
1,2010,A146,6002.0,Albera Ligure,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.28551984399999997,0.05759299,0.031731284,0.049463627,0.44738472,0.002771757,0.12553577800000001,2.11762e-05,270.17956660000004,86.23596475,-19.24234278,1470.941208,3.3710895360000004,0.0,0.0,0.0,6.191950464,86.23596475,-19.24234278,0.0,0.0,10.0,4.0,2.8
2,2010,A182,6003.0,Alessandria,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.063871555,0.237699548,0.120787275,0.034578673,0.52383905,0.002365816,0.016858083,0.001688343,10.32977446,-73.74023449,-27.19558744,881.3792661,55.79032111,4.042776892,0.0,5.0,6.538631625,-73.74023449,-27.19558744,0.0,1.0,1.0,3.0,5.8
3,2010,A189,6004.0,Alfiano Natta,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.193626555,0.114246598,0.07342544299999999,0.05128868599999999,0.510707378,0.003028408,0.053676932000000004,2.3558e-05,146.06735749999999,116.3160898,-1.767993422,2412.095128,0.0,0.0,0.0,0.0,0.0,116.3160898,-1.767993422,0.0,1.0,10.0,5.0,3.4
4,2010,A197,6005.0,Alice Bel Colle,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.248165201,0.134181335,0.087533107,0.043409259000000006,0.46227179399999996,0.002752824,0.02168648,1.86428e-05,79.40226798,50.32379363,22.58507857,378.75588799999997,10.99380316,1.832300527,0.0,0.0,2.685765443,50.32379363,22.58507857,0.0,0.0,9.0,7.0,5.0
5,2010,A211,6006.0,Alluvioni Cambiň,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.106684252,0.13210223599999998,0.09812878800000001,0.062880493,0.570960328,0.000218387,0.029025517,1.86149e-05,46.13488844,10.43345346,-25.18009639,2008.3266370000001,8.829944106000001,0.0,0.0,0.0,2.0283975659999998,10.43345346,-25.18009639,0.0,0.0,6.0,3.0,3.8
6,2010,A227,6007.0,Altavilla Monferrato,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.21369724899999998,0.123326738,0.073326031,0.012740248999999999,0.52298425,0.00076215,0.053163333,1.55542e-05,61.756917,-9.208478358999999,-82.95720593,1054.4234900000001,3.374263145,0.0,0.0,0.0,1.976284585,-9.208478358999999,-82.95720593,0.0,2.0,5.0,1.0,3.0
7,2010,A245,6008.0,Alzano Scrivia,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.067821045,0.161904037,0.082591533,0.04460125400000001,0.619689726,0.0,0.023392406,9.24161e-06,59.56052632,10.67521293,-37.227356,2022.3925940000001,17.871184500000002,0.0,0.0,0.0,5.263157895,10.67521293,-37.227356,0.0,0.0,6.0,2.0,3.2
8,2010,A436,6009.0,Arquata Scrivia,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.148549544,0.18841518699999998,0.070380914,0.056173738,0.527712385,0.001884091,0.006884141,0.00012661200000000001,46.43498403,3.75277087,-17.38587099,3933.937917,21.65348736,4.06002888,0.0,5.0,2.555910543,3.75277087,-17.38587099,0.0,0.0,6.0,4.0,4.4
9,2010,A523,6010.0,Avolasca,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.248302658,0.051842625,0.031613055,0.059506599,0.590648606,0.000261305,0.017825151,1.59897e-05,43.76510067,-63.13952051,-53.04715563,259.220391,0.0,0.0,0.0,0.0,0.0,-63.13952051,-53.04715563,0.0,1.0,1.0,1.0,4.6
10,2010,A605,6011.0,Balzola,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.152870234,0.102404736,0.105101598,0.07269606099999999,0.546796115,0.0,0.020131256,2.4461e-05,70.35955056,85.10345855,14.61590971,4053.6647729999995,0.0,0.0,0.0,0.0,0.0,85.10345855,14.61590971,0.0,0.0,10.0,7.0,4.6
11,2010,A689,6012.0,Basaluzzo,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.11439246199999999,0.215139694,0.119015146,0.020283752,0.519444759,0.0005591680000000001,0.011165017,4.63437e-05,51.68102224,6.486809613999999,21.96799461,2301.882577,18.97121224,2.107912471,0.0,0.0,4.259346900000001,6.486809613999999,21.96799461,0.0,0.0,6.0,7.0,6.2
12,2010,A708,6013.0,Bassignana,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.162426604,0.132022196,0.078211333,0.08659385,0.523929981,0.0027899009999999996,0.014026133,3.5422e-05,36.30191874,-17.9316298,24.64295031,1348.515055,12.578062599999999,4.192687534,0.43010752700000005,0.0,3.386004515,-17.9316298,24.64295031,0.0,0.0,4.0,8.0,7.6
13,2010,A738,6014.0,Belforte Monferrato,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.17656689899999997,0.199655842,0.06590428599999999,0.024123291,0.5046621179999999,0.015580851000000001,0.013506713,1.78821e-05,142.18562869999997,80.02471958,110.5496038,1822.3051070000001,30.69791715,0.0,0.0,0.0,23.95209581,80.02471958,110.5496038,0.0,2.0,10.0,10.0,6.4
14,2010,A793,6015.0,Bergamasco,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.17176913,0.108058294,0.09054929199999999,0.059535702999999995,0.54639964,0.000657519,0.023030422999999998,1.73713e-05,33.202564100000004,-32.62642791,-22.81672082,1101.714383,8.508103969,0.0,0.731707317,0.0,2.564102564,-32.62642791,-22.81672082,0.0,0.0,3.0,3.0,5.0
15,2010,A813,6016.0,Berzano di Tortona,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.193587486,0.035333066,0.064730972,0.076786797,0.52614472,0.0,0.103416958,5.02875e-06,82.10588235,25.43518915,-24.99914989,929.3932776,0.0,0.0,0.0,0.0,0.0,25.43518915,-24.99914989,0.0,0.0,8.0,3.0,3.0
16,2010,A889,6017.0,Bistagno,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.14594801599999999,0.221815249,0.09562767300000001,0.026515237,0.507234206,0.000159729,0.002699889,3.93562e-05,45.1718107,0.833801205,-2.455746563,2146.354102,9.776819649,2.444204912,0.0,1.0,2.057613169,0.833801205,-2.455746563,0.0,0.0,6.0,5.0,5.0
17,2010,A998,6018.0,Borghetto di Borbera,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.247439729,0.116660074,0.091660141,0.022881044,0.510326095,0.001862213,0.009170704,4.8967e-05,132.6520657,145.9498288,135.9815551,3439.522671,3.8719119889999996,0.0,0.0,0.0,1.493280239,145.9498288,135.9815551,0.0,3.0,10.0,10.0,6.4
18,2010,B029,6019.0,Borgoratto Alessandrino,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.11587297199999999,0.10293956800000001,0.08978171300000001,0.056715495,0.607667772,0.000823568,0.026198912999999997,1.4255e-05,25.61488673,-49.81554141,-3.874060229,831.6477974,0.0,0.0,0.0,0.0,0.0,-49.81554141,-3.874060229,0.0,0.0,1.0,5.0,7.0
